x, y, theta, stamp, 
1.0660786628723145, 3.399190664291382, -0.36888608187191985, 1697662390482259030, 
1.0940332412719727, 3.3882830142974854, -0.3723101086323242, 1697662390580185204, 
1.1204204559326172, 3.3776121139526367, -0.37458625145046437, 1697662390674213070, 
1.1523187160491943, 3.3652119636535645, -0.37742105538675746, 1697662390786949806, 
1.1798906326293945, 3.354154586791992, -0.37831695592018943, 1697662390883050509, 
1.2072283029556274, 3.343440532684326, -0.3821605514501918, 1697662390978459958, 
1.2344728708267212, 3.3325600624084473, -0.38391756314638176, 1697662391075232120, 
1.2659045457839966, 3.3200109004974365, -0.3858108694711803, 1697662391187169316, 
1.2932533025741577, 3.3086915016174316, -0.38637675049604825, 1697662391283207902, 
1.3206980228424072, 3.2975668907165527, -0.3881066219455028, 1697662391379198949, 
